French,English,Rating
comme,as,0
je,I,0
son,his,0
que,that,0
il,he,0
était,was,0
pour,for,0
sur,on,0
sont,are,0
avec,with,0
ils,they,0
être,be,0
à,at,0
un,one,0
avoir,have,0
ce,this,0
à partir de,from,0
par,by,0
chaud,hot,0
mot,word,0
mais,but,0
que,what,0
certains,some,0
est,is,0
il,it,0
vous,you,0
ou,or,0
eu,had,0
la,the,0
de,of,0
à,to,0
et,and,0
un,a,0
dans,in,0
nous,we,0
boîte,can,0
dehors,out,0
autre,other,0
étaient,were,0
qui,which,0
faire,do,0
leur,their,0
temps,time,0
si,if,0
volonté,will,0
comment,how,0
dit,said,0
un,an,0
chaque,each,0
dire,tell,0
ne,does,0
ensemble,set,0
trois,three,0
vouloir,want,0
air,air,0
bien,well,0
aussi,also,0
jouer,play,0
petit,small,0
fin,end,0
mettre,put,0
maison,home,0
lire,read,0
main,hand,0
port,port,0
grand,large,0
épeler,spell,0
ajouter,add,0
même,even,0
terre,land,0
ici,here,0
il faut,must,0
grand,big,0
haut,high,0
tel,such,0
suivre,follow,0
acte,act,0
pourquoi,why,0
interroger,ask,0
hommes,men,0
changement,change,0
est allé,went,0
lumière,light,0
genre,kind,0
de,off,0
besoin,need,0
maison,house,0
image,picture,0
essayer,try,0
nous,us,0
encore,again,0
animal,animal,0
point,point,0
mère,mother,0
monde,world,0
près de,near,0
construire,build,0
soi,self,0
terre,earth,0
père,father,0
tout,any,0
nouveau,new,0
travail,work,0
partie,part,0
prendre,take,0
obtenir,get,0
lieu,place,0
fabriqué,made,0
vivre,live,0
où,where,0
après,after,0
arrière,back,0
peu,little,0
seulement,only,0
tour,round,0
homme,man,0
année,year,0
est venu,came,0
montrer,show,0
tous,every,0
bon,good,0
moi,me,0
donner,give,0
notre,our,0
sous,under,0
nom,name,0
très,very,0
par,through,0
juste,just,0
forme,form,0
phrase,sentence,0
grand,great,0
penser,think,0
dire,say,0
aider,help,0
faible,low,0
ligne,line,0
différer,differ,0
tour,turn,0
la cause,cause,0
beaucoup,much,0
signifier,mean,0
avant,before,0
déménagement,move,0
droit,right,0
garçon,boy,0
vieux,old,0
trop,too,0
même,same,0
elle,she,0
tous,all,0
là,there,0
quand,when,0
jusqu’à,up,0
utiliser,use,0
votre,your,0
manière,way,0
sur,about,0
beaucoup,many,0
puis,then,0
les,them,0
écrire,write,0
voudrais,would,0
comme,like,0
si,so,0
ces,these,0
son,her,0
long,long,0
faire,make,0
chose,thing,0
voir,see,0
lui,him,0
deux,two,0
a,has,0
regarder,look,0
plus,more,0
jour,day,0
pourrait,could,0
aller,go,0
venir,come,0
fait,did,0
nombre,number,0
son,sound,0
aucun,no,0
plus,most,0
personnes,people,0
ma,my,0
sur,over,0
savoir,know,0
eau,water,0
que,than,0
appel,call,0
